Call No,Date,Time,Equipment,Problem Description,Attended By,Time to Resolve (hrs),Status,Remarks,shift,sheet_name,machine
D05-014,2025-05-04,14:30,Motor-B,Emergency stop triggered — unknown cause,R. Sharma,2.5,Closed,Escalated to OEM,Day,ERW-Pipe-B,ERW-Pipe-B
D05-015,2025-05-10,10:45,Conveyor-Drive,PLC fault code F-204 — sensor error,A. Patel,4.0,Closed,Escalated to OEM,Day,ERW-Pipe-B,ERW-Pipe-B
N05-001,2025-05-02,22:15,Motor-B,Chain elongation on drive chain,V. Joshi,7.3,Closed,Resolved by operator adjustment,Night,ERW-Pipe-B,ERW-Pipe-B
N05-002,2025-05-28,19:00,Motor-A,Oil contamination in gearbox,V. Joshi,1.4,Closed,Temporary fix applied,Night,ERW-Pipe-B,ERW-Pipe-B
N05-003,2025-05-19,21:30,Gearbox,Water leakage in cooling system,M. Singh,7.1,Closed,,Night,ERW-Pipe-B,ERW-Pipe-B
N05-004,2025-05-12,21:30,Motor-A,Electrical trip — overload relay,S. Kumar,2.1,Closed,Root cause: wear and tear,Night,ERW-Pipe-B,ERW-Pipe-B
N05-005,2025-05-04,20:00,Conveyor-Drive,Air compressor pressure low,S. Kumar,1.0,Closed,Spare part ordered — pending,Night,ERW-Pipe-B,ERW-Pipe-B
N05-006,2025-05-04,21:00,Pump-2,Chain elongation on drive chain,N. Das,7.8,Closed,Escalated to OEM,Night,ERW-Pipe-B,ERW-Pipe-B
N05-007,2025-05-24,19:15,Motor-B,Coating thickness alarm,B. Reddy,2.1,Closed,Root cause: wear and tear,Night,ERW-Pipe-B,ERW-Pipe-B
N05-008,2025-05-21,19:00,Cylinder-Main,Pneumatic pressure drop in actuator,M. Singh,4.6,Open,Spare part ordered — pending,Night,ERW-Pipe-B,ERW-Pipe-B
N05-009,2025-05-10,18:15,Motor-A,Control panel display blank,A. Patel,4.9,Closed,Preventive maintenance scheduled,Night,ERW-Pipe-B,ERW-Pipe-B
N05-010,2025-05-30,19:45,Motor-B,Torch height error — cutting machine,P. Gupta,4.1,Open,Spare part ordered — pending,Night,ERW-Pipe-B,ERW-Pipe-B
N05-011,2025-05-17,22:15,Motor-A,Torch height error — cutting machine,B. Reddy,2.8,Closed,Repaired and tested OK,Night,ERW-Pipe-B,ERW-Pipe-B
N05-012,2025-05-30,21:45,Gearbox,Gear coupling worn — noise detected,P. Gupta,4.2,Open,Spare part ordered — pending,Night,ERW-Pipe-B,ERW-Pipe-B
D06-001,2025-05-03,07:30,Pump-1,Conveyor belt slip / misalignment,M. Singh,2.6,Closed,Escalated to OEM,Day,ERW-Pipe-C,ERW-Pipe-C
D06-002,2025-05-19,14:30,PLC-Panel,Encoder signal lost on servo axis,N. Das,3.7,Open,Spare part ordered — pending,Day,ERW-Pipe-C,ERW-Pipe-C
D06-003,2025-05-04,14:15,Gearbox,Hydraulic valve stuck open,A. Patel,3.6,Open,Resolved by operator adjustment,Day,ERW-Pipe-C,ERW-Pipe-C
D06-004,2025-05-18,07:30,Gearbox,Limit switch failure — door interlock,K. Yadav,3.3,Closed,,Day,ERW-Pipe-C,ERW-Pipe-C
D06-005,2025-05-29,07:00,Motor-B,Pipe OD out of spec — forming issue,P. Gupta,6.1,Closed,Temporary fix applied,Day,ERW-Pipe-C,ERW-Pipe-C
D06-006,2025-05-14,06:30,Motor-B,Pipe OD out of spec — forming issue,S. Kumar,7.1,Open,Resolved by operator adjustment,Day,ERW-Pipe-C,ERW-Pipe-C
D06-007,2025-05-04,06:30,Cylinder-Main,Control panel display blank,P. Gupta,4.8,Closed,,Day,ERW-Pipe-C,ERW-Pipe-C
D06-008,2025-05-24,07:30,Conveyor-Drive,PLC fault code F-204 — sensor error,K. Yadav,4.8,Open,Repaired and tested OK,Day,ERW-Pipe-C,ERW-Pipe-C
D06-009,2025-05-12,10:00,Pump-1,Vibration high on spindle motor,K. Yadav,7.4,Closed,Temporary fix applied,Day,ERW-Pipe-C,ERW-Pipe-C
D06-010,2025-05-04,08:45,Motor-B,Pneumatic pressure drop in actuator,R. Sharma,1.2,Closed,Resolved by operator adjustment,Day,ERW-Pipe-C,ERW-Pipe-C
D06-011,2025-05-18,13:30,Pump-1,Control panel display blank,K. Yadav,5.9,Open,Spare part ordered — pending,Day,ERW-Pipe-C,ERW-Pipe-C
D06-012,2025-05-03,06:15,Pump-1,Coating thickness alarm,N. Das,0.9,Closed,,Day,ERW-Pipe-C,ERW-Pipe-C
D06-013,2025-05-10,12:45,PLC-Panel,Pipe OD out of spec — forming issue,K. Yadav,2.1,Closed,Escalated to OEM,Day,ERW-Pipe-C,ERW-Pipe-C
D06-014,2025-05-18,07:30,PLC-Panel,Encoder signal lost on servo axis,K. Yadav,0.8,Closed,Repaired and tested OK,Day,ERW-Pipe-C,ERW-Pipe-C
D06-015,2025-05-31,09:30,Pump-2,Coating thickness alarm,M. Singh,6.2,Closed,Spare part ordered — pending,Day,ERW-Pipe-C,ERW-Pipe-C
N06-001,2025-05-31,21:45,Pump-1,Pneumatic pressure drop in actuator,D. Mehta,4.5,Closed,Escalated to OEM,Night,ERW-Pipe-C,ERW-Pipe-C
N06-002,2025-05-29,21:00,Gearbox,Hydraulic leak in main cylinder,V. Joshi,7.4,Open,Resolved by operator adjustment,Night,ERW-Pipe-C,ERW-Pipe-C
N06-003,2025-05-13,21:45,Cylinder-Main,PLC fault code F-204 — sensor error,D. Mehta,0.7,Closed,,Night,ERW-Pipe-C,ERW-Pipe-C
N06-004,2025-05-05,23:30,Motor-B,Pipe OD out of spec — forming issue,P. Gupta,2.3,Closed,Spare part ordered — pending,Night,ERW-Pipe-C,ERW-Pipe-C
N06-005,2025-05-19,20:30,Pump-2,Limit switch failure — door interlock,M. Singh,1.1,Closed,Root cause: wear and tear,Night,ERW-Pipe-C,ERW-Pipe-C
N06-006,2025-05-03,20:30,Pump-1,Strip break at forming section,P. Gupta,1.6,Closed,Temporary fix applied,Night,ERW-Pipe-C,ERW-Pipe-C
N06-007,2025-05-07,23:00,Pump-1,Coating thickness alarm,V. Joshi,4.0,Closed,,Night,ERW-Pipe-C,ERW-Pipe-C
N06-008,2025-05-10,22:30,Conveyor-Drive,Pneumatic pressure drop in actuator,V. Joshi,1.0,Closed,Preventive maintenance scheduled,Night,ERW-Pipe-C,ERW-Pipe-C
N06-009,2025-05-06,20:00,Conveyor-Drive,Encoder signal lost on servo axis,P. Gupta,2.8,Closed,Repaired and tested OK,Night,ERW-Pipe-C,ERW-Pipe-C
N06-010,2025-05-20,20:00,Motor-B,Lubrication system fault — low level,N. Das,4.3,Closed,Repaired and tested OK,Night,ERW-Pipe-C,ERW-Pipe-C
N06-011,2025-05-17,22:15,Conveyor-Drive,Lubrication system fault — low level,V. Joshi,4.3,Open,,Night,ERW-Pipe-C,ERW-Pipe-C
N06-012,2025-05-28,20:00,Pump-1,Motor overheating — bearing failure,A. Patel,5.8,Open,Temporary fix applied,Night,ERW-Pipe-C,ERW-Pipe-C
D07-001,2025-05-20,11:30,Gearbox,Pipe OD out of spec — forming issue,S. Kumar,5.6,Closed,Escalated to OEM,Day,Spiral-Mill-1,Spiral-Mill-1
D07-002,2025-05-29,11:00,Gearbox,Oil contamination in gearbox,K. Yadav,5.9,Closed,Temporary fix applied,Day,Spiral-Mill-1,Spiral-Mill-1
D07-003,2025-05-21,07:15,Conveyor-Drive,Oil contamination in gearbox,D. Mehta,1.5,Closed,Spare part ordered — pending,Day,Spiral-Mill-1,Spiral-Mill-1
D07-004,2025-05-22,14:45,Conveyor-Drive,Pneumatic pressure drop in actuator,B. Reddy,1.2,Closed,Escalated to OEM,Day,Spiral-Mill-1,Spiral-Mill-1
D07-005,2025-05-31,11:30,Pump-1,Weld seam out of tolerance,S. Kumar,7.6,Closed,Root cause: wear and tear,Day,Spiral-Mill-1,Spiral-Mill-1
D07-006,2025-05-27,08:00,Cylinder-Main,PLC fault code F-204 — sensor error,B. Reddy,6.3,Open,Repaired and tested OK,Day,Spiral-Mill-1,Spiral-Mill-1
D07-007,2025-05-10,11:15,Gearbox,Pneumatic pressure drop in actuator,M. Singh,1.9,Closed,Temporary fix applied,Day,Spiral-Mill-1,Spiral-Mill-1
D07-008,2025-05-08,13:00,Gearbox,Control panel display blank,A. Patel,7.8,Closed,,Day,Spiral-Mill-1,Spiral-Mill-1
D07-009,2025-05-24,14:15,Cylinder-Main,Drive belt worn — replacement needed,A. Patel,3.3,Open,,Day,Spiral-Mill-1,Spiral-Mill-1
D07-010,2025-05-17,10:45,Gearbox,Coolant pump not starting,A. Patel,6.5,Closed,Preventive maintenance scheduled,Day,Spiral-Mill-1,Spiral-Mill-1
D07-011,2025-05-30,13:30,Motor-B,Electrical trip — overload relay,B. Reddy,6.9,Closed,Temporary fix applied,Day,Spiral-Mill-1,Spiral-Mill-1
D07-012,2025-05-23,13:15,Gearbox,Conveyor belt slip / misalignment,A. Patel,6.6,Open,Repaired and tested OK,Day,Spiral-Mill-1,Spiral-Mill-1
D07-013,2025-05-18,06:45,Conveyor-Drive,Strip break at forming section,D. Mehta,8.0,Closed,Repaired and tested OK,Day,Spiral-Mill-1,Spiral-Mill-1
